Artist,ArtistSongCount,ArtistRank,Location
Bing Crosby,24,7.0,"Syracuse, NY"
Bill Haley & his Comets,3,283.0,
Celine Dion,10,43.0,
Sinead O'Connor,1,725.0,
The Beatles,42,2.0,
Bryan Adams,8,74.0,
Whitney Houston,17,14.0,"Memphis, TN"
Pink Floyd,2,439.0,
Irene Cara,2,439.0,
Elton John,26,6.0,
The Rolling Stones,31,4.0,
Coolio,3,283.0,
Eminem,13,29.0,
Cher,7,89.0,"Toronto, Ontario, Canada"
Usher,9,53.0,
The Beatles,42,2.0,
Procol Harum,2,439.0,
Bee Gees,20,12.0,
Leona Lewis,3,283.0,Scotland
The Police,9,53.0,
Kim Carnes,1,725.0,
Rihanna & Jay-Z,1,725.0,"Baltimore, MD"
George Harrison,5,144.0,
Abba,19,13.0,
P Diddy & Faith Evans,1,725.0,
Britney Spears,17,14.0,
The Beatles,42,2.0,
Michael Jackson,29,5.0,
Bobby Darin,4,206.0,
John Travolta & Olivia Newton-John,3,283.0,
USA For Africa,1,725.0,
Hanson,4,206.0,
Madonna,41,3.0,
Spice Girls,10,43.0,
Roy Orbison,9,53.0,
Eminem,13,29.0,
The Village People,4,206.0,
Stevie Wonder,17,14.0,
George Michael,14,25.0,"Seattle, Washington USA"
John Lennon,10,43.0,
Survivor,2,439.0,
Los Del Rio,1,725.0,Not available
Elvis Presley,43,1.0,
UB40,4,206.0,
OutKast,4,206.0,
Queen,14,25.0,
Barbra Streisand,4,206.0,
Katy Perry,10,43.0,
Judy Garland,2,439.0,Not available
Elvis Presley,43,1.0,
No Doubt,4,206.0,"Monterrey, Nuevo LeA3n, MA(c)xico"
Shakira & Wyclef Jean,1,725.0,
50 Cent,4,206.0,
Kylie Minogue,8,74.0,
The Black Eyed Peas,15,19.0,
The Rolling Stones,31,4.0,
Mungo Jerry,1,725.0,
Vaughn Monroe,7,89.0,
Lady GaGa,7,89.0,New York City
Ace of Base,5,144.0,
Carl Douglas,1,725.0,
Justin Timberlake,10,43.0,
Madonna,41,3.0,
Elvis Presley,43,1.0,
The Beatles,42,2.0,
Joan Jett & The Blackhearts,1,725.0,
Ricky Martin,5,144.0,
The Monkees,6,113.0,
Shakira,6,113.0,
Rihanna & Calvin Harris,1,725.0,
Frank Sinatra,11,34.0,
Bruce Springsteen,11,34.0,
The Righteous Brothers,3,283.0,
All-4-One,2,439.0,
Glenn Miller,15,19.0,
Lou Bega,1,725.0,
Doris Day,6,113.0,
Flo-Rida & T-Pain,1,725.0,
Nat King Cole,12,31.0,"Corrigan, Polk County, TX"
Terry Jacks,1,725.0,
Culture Club,6,113.0,
Aerosmith,9,53.0,
Blondie,9,53.0,
Boyz II Men,8,74.0,
The Fugees,3,283.0,Not available
Tony Orlando & Dawn,3,283.0,
Fergie,3,283.0,
Shocking Blue,2,439.0,
Eagles,7,89.0,
Bing Crosby,24,7.0,
The Beatles,42,2.0,
Chubby Checker,5,144.0,
Nelly & Kelly Rowland,1,725.0,
The Beatles,42,2.0,
Beyonce,11,34.0,
The Black Eyed Peas,15,19.0,
John Lennon,10,43.0,
Culture Club,6,113.0,
Brandy & Monica,1,725.0,
Madonna,41,3.0,
Sean Kingston,3,283.0,
Prince,21,10.0,
The Beatles,42,2.0,Not available
The Pussycat Dolls,5,144.0,
Bee Gees,20,12.0,
Diana Ross,6,113.0,
Madonna,41,3.0,
Nickelback,4,206.0,
Archies,2,439.0,
"Christina Aguilera, Lil' Kim, Mya & Pink",1,725.0,
A-Ha,3,283.0,
Las Ketchup,1,725.0,
The Beatles,42,2.0,Not available
Rob Thomas & Santana,1,725.0,
Snow,1,725.0,"Kingston, Jamaica"
Timbaland & OneRepublic,1,725.0,Not available
t.A.T.u.,2,439.0,
Take That,4,206.0,
The Beatles,42,2.0,
Chicago,7,89.0,Not available
Aqua,3,283.0,
Gnarls Barkley,1,725.0,Not available
Blondie,9,53.0,"Minneapolis, MN"
Whitney Houston,17,14.0,
