Rank,Year,Genre,Score
1,1942,blue-eyed soul,39.903
2,1955,,36.503
3,1998,,35.405
4,1990,,35.135
5,1968,,34.442
6,1991,,34.367
7,1992,country rock,34.111999999999995
8,1980,,32.02
9,1983,,31.305
10,1997,,31.054000000000002
11,1965,,31.054000000000002
12,1995,,30.822
13,2002,,30.554000000000002
14,1998,hard rock,30.065
15,2004,,29.535
16,1970,,29.443
17,1967,,29.428
18,1978,,29.346999999999998
19,2008,british pop,29.316
20,1983,,28.976
21,1981,,28.919
22,2007,pop punk,28.653000000000002
23,1971,,27.598000000000003
24,1976,,27.581999999999997
25,1997,,27.543000000000003
26,1999,,27.487
27,1964,,27.47
28,1983,,27.395
29,1959,,27.33
30,1978,,26.79
31,1985,,26.680999999999997
32,1997,,26.574
33,1990,,26.504
34,1996,,26.329
35,1964,,26.309
36,2002,,26.225
37,1978,,25.951
38,1984,,25.939
39,1984,instrumental pop,25.89
40,1971,,25.732
41,1982,,25.708000000000002
42,1996,dance pop,25.686999999999998
43,1960,,25.656999999999996
44,1993,,25.587
45,2003,,25.543000000000003
46,1976,,25.468000000000004
47,1980,,25.365
48,2008,,25.365
49,1939,easy listening,25.291
50,1960,,25.254
51,1997,alternative dance,25.142
52,2006,,25.09
53,2003,,25.013
54,2001,,24.965
55,2003,,24.945
56,1973,,24.601999999999997
57,1970,,24.345
58,1949,,24.324
59,2009,dance pop,24.27
60,1994,,24.201999999999998
61,1974,,24.144000000000002
62,2006,,24.061999999999998
63,2005,,23.935
64,1957,,23.826999999999998
65,1965,,23.82
66,1982,,23.739
67,1999,,23.729
68,1967,,23.629
69,2002,,23.62
70,2011,,23.373
71,1966,,23.348000000000003
72,1994,,23.234
73,1965,,23.199
74,1994,,23.163
75,1940,,23.153000000000002
76,1999,,23.068
77,1956,,23.058000000000003
78,2008,,23.053
79,1950,western swing,23.002
80,1974,,23.0
81,1983,,22.967
82,1998,,22.96
83,1979,,22.929000000000002
84,1992,,22.898000000000003
85,1996,dance pop,22.861
86,1973,,22.858
87,2007,,22.615
88,1970,,22.535
89,1977,,22.531999999999996
90,1944,,22.468000000000004
91,1967,,22.448
92,1960,,22.42
93,2002,,22.401
94,1964,,22.398000000000003
95,2003,,22.139
96,2009,,22.125999999999998
97,1980,,22.094
98,1982,,22.065
99,1998,,22.026
100,1989,,21.991999999999997
101,2007,,21.963
102,1984,,21.901999999999997
103,1965,bossa nova,21.879
104,2005,,21.864
105,1978,,21.854
106,1980,,21.735
107,2000,,21.688000000000002
108,2002,,21.636999999999997
109,1969,,21.613000000000003
110,2001,,21.557
111,1985,,21.526999999999997
112,2002,,21.48
113,1969,cantonese pop,21.430999999999997
114,1999,,21.397
115,1993,roots reggae,21.344
116,2007,bass music,21.261
117,2003,,21.261
118,1995,,21.14
119,1967,,21.084
120,1976,bossa nova,21.072
121,1997,,21.011999999999997
122,2006,blues-rock,20.983
123,1980,new jack swing,20.956
124,1987,,20.901999999999997
125,1976,,20.883000000000003
126,1993,,20.874000000000002
127,1978,,20.873
128,1991,,20.863000000000003
129,1970,,20.863000000000003
130,1979,,20.857
131,1999,,20.818
132,1966,,20.799
133,1962,country,20.776999999999997
134,1993,,20.750999999999998
135,1961,,20.744
136,1960,,20.739
137,2011,,20.721999999999998
138,2005,,20.719
139,1972,,20.701999999999998
140,1961,hard rock,20.684
141,1994,,20.622
142,2008,,20.607
143,1989,,20.584
144,1982,,20.497
145,2008,,20.459
146,1999,,20.448
147,1965,,20.447
148,1983,,20.326
149,1982,,20.294
150,1987,dance pop,20.285
151,1990,,20.269000000000002
152,1958,folk-pop,20.203
153,1944,,20.052
154,1986,teen pop,20.034000000000002
155,2006,bachata,20.027
156,1992,,19.917
157,2000,,19.889
158,1948,,19.851
159,2007,,19.834
160,1974,,19.799
161,1979,,19.727
162,1994,,19.660999999999998
163,1974,,19.544
164,1953,,19.525
165,1990,,19.487000000000002
166,1950,,19.48
167,1976,chanson,19.47
168,1997,,19.448
169,2002,,19.432000000000002
170,1967,,19.365
171,2010,,19.352999999999998
172,2011,,19.322
173,1954,,19.317999999999998
174,1981,,19.308
175,1994,,19.291
176,2008,,19.271
177,1995,,19.25
178,1990,,19.235
179,2012,,19.226
180,1981,,19.173
181,1980,,19.117
182,1951,,19.108
183,1999,,19.096
184,1996,,19.083
185,1986,,19.049
186,2011,,19.047
187,1966,,19.003
188,1967,,19.002
189,1986,,19.002
190,1964,,18.968
191,2004,,18.941
192,1984,,18.927
193,2002,,18.895
194,1955,,18.843
195,1968,country rock,18.84
196,1964,,18.837
197,1952,,18.837
198,1966,,18.833
199,1971,,18.807000000000002
200,1984,,18.807000000000002
201,1984,,18.791
202,1969,,18.788
203,1995,,18.785
205,2008,,18.641
