Song,Duration,Familiarity,Loudness,Tempo
White Christmas,144.2,64.12,12.0,90.1
Rock Around the Clock,,,,
My Heart Will Go On,,,,
Nothing Compares 2 U,,,,
Hey Jude,,,,
(Everything I Do) I Do it For You,,,,
I Will Always Love You,189.6,51.08,11.2,67.9
Another Brick in the Wall (part 2),,,,
Flashdance... What a Feeling,,,,
Candle in the Wind '97,,,,
(I Can't Get No) Satisfaction,,,,
Gangsta's Paradise,,,,
Lose Yourself,,,,
Believe,294.7,63.134,10.6,101.3
Yeah!,,,,
Let it Be,,,,
A Whiter Shade of Pale,,,,
Stayin' Alive,,,,
Bleeding Love,261.7,65.536,9.6,96.2
Every Breath You Take,,,,
Bette Davis Eyes,,,,
Umbrella,227.7,84.243,8.9,88.0
My Sweet Lord,,,,
Dancing Queen,,,,
I'll Be Missing You,,,,
Baby One More Time,,,,
I Want to Hold Your Hand,,,,
Billie Jean,,,,
Mack the Knife,,,,
You're the One That I Want,,,,
We Are the World,,,,
Mmmbop,,,,
Vogue,,,,
Wannabe,,,,
"Oh, Pretty Woman",,,,
Without Me,,,,
YMCA,,,,
I Just Called to Say I Love You,,,,
Careless Whisper,232.3,75.163,7.1,150.0
Imagine,,,,
Eye of the Tiger,,,,
Macarena,249.5,44.773,12.0,206.0
Are You Lonesome Tonight?,,,,
Can't Help Falling in Love,,,,
Hey Ya!,,,,
Bohemian Rhapsody,,,,
A Woman in Love,,,,
I Kissed A Girl,,,,
Over the Rainbow,168.8,32.198,15.6,133.5
It's Now Or Never,,,,
Don't Speak,306.1,73.968,10.0,125.0
Hips don't lie,,,,
In Da Club,,,,
Can't Get You Out of My Head,,,,
Where is the Love?,,,,
Angie,,,,
In the Summertime,,,,
(Ghost) Riders in the Sky,,,,
Poker Face,243.3,93.923,11.3,86.5
The Sign,,,,
Kung Fu Fighting,,,,
Sexyback,,,,
Hung Up,,,,
Jailhouse Rock,,,,
Help!,,,,
I Love Rock 'n' Roll,,,,
Livin' La Vida Loca,,,,
I'm a Believer,,,,
"Whenever, Wherever",,,,
We Found Love,,,,
Strangers in the Night,,,,
Streets of Philadelphia,,,,
Unchained Melody,,,,
I Swear,,,,
In the Mood,,,,
Mambo No 5 (A Little Bit of ...),,,,
Que sera sera (Whatever will be will be),,,,
Low,,,,
Mona Lisa,170.5,38.672,17.9,74.6
Seasons in the Sun,,,,
Karma Chameleon,,,,
I Don't Want to Miss a Thing,,,,
Heart of Glass,,,,
End of the Road,,,,
Killing Me Softly With His Song,310.5,47.349,8.9,100.8
Tie a Yellow Ribbon 'round the Old Oak Tree,,,,
Big Girls Don't Cry,,,,
Venus,,,,
Hotel California,,,,
Swinging On a Star,,,,
All You Need is Love,,,,
The Twist,,,,
Dilemma,,,,
She Loves You,,,,
Crazy in Love,,,,
I Gotta Feeling,,,,
(Just Like) Starting Over,,,,
Do You Really Want to Hurt Me?,,,,
The Boy is Mine,,,,
Like a Prayer,,,,
Beautiful Girls,,,,
When Doves Cry,,,,
Yesterday,160.3,37.801,15.8,159.8
Don't Cha,,,,
Night Fever,,,,
Upside Down,,,,
Music,,,,
How You Remind Me,,,,
Sugar Sugar,,,,
Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),,,,
Take On Me,,,,
The Ketchup Song (Asereje),,,,
Get Back,279.3,53.681,10.4,135.1
Smooth,,,,
Informer,226.4,60.698,5.6,154.6
Apologize,231.1,58.237,3.2,86.7
All the Things She Said,,,,
Back For Good,,,,
"Hello, Goodbye",,,,
If You Leave Me Now,174.7,37.801,15.5,99.4
Barbie Girl,,,,
Crazy,227.1,51.852,9.8,96.4
Call Me,293.7,72.199,11.1,97.7
I Wanna Dance With Somebody (Who Loves Me),,,,
Don't Go Breaking My Heart,,,,
All That She Wants,,,,
Rivers of Babylon,,,,
Black Or White,,,,
Bridge Over Troubled Water,,,,
Le Freak,,,,
No Scrubs,,,,
These Boots Are Made For Walking,,,,
I Can't Stop Loving You,262.0,61.487,13.6,100.2
I'd Do Anything For Love (But I Won't Do That),,,,
Let's Twist Again,,,,
Theme From 'A Summer Place',,,,
Party Rock Anthem,,,,
You're Beautiful,,,,
American Pie,,,,
Stand By Me,203.3,52.076,7.0,104.8
All For Love,,,,
So What,,,,
Another Day in Paradise,,,,
Ebony & Ivory,,,,
Just Dance,,,,
Blue (Da Ba Dee),,,,
Downtown,,,,
Beat It,,,,
Don't You Want Me,,,,
Never Gonna Give You Up,211.7,75.492,7.8,113.4
I've Been Thinking About You,,,,
Tom Dooley,199.9,51.278,17.9,117.2
Don't Fence Me In,,,,
Take My Breath Away,196.1,77.252,6.2,99.9
Irreplaceable,255.1,69.898,5.1,129.0
Smells Like Teen Spirit,,,,
Beautiful Day,,,,
Buttons & Bows,,,,
Girlfriend,,,,
Rock Your Baby,,,,
I Will Survive,,,,
Without You,,,,
Waterloo,,,,
Vaya Con Dios (may God Be With You),,,,
Ice Ice Baby,,,,
Third Man Theme,,,,
Fernando,220.9,42.036,8.5,103.8
I Believe I Can Fly,,,,
Complicated,,,,
Penny Lane,,,,
Love The Way You Lie,,,,
Rolling In The Deep,,,,
Secret Love,,,,
(Let's Get) Physical,,,,
I'll Make Love to You,,,,
Four Minutes,,,,
Have You Ever Really Loved a Woman?,,,,
U Can't Touch This,,,,
Somebody That I Used to Know,,,,
Stars On 45,,,,
Funkytown,,,,
Too Young,,,,
I Want it That Way,,,,
Because You Loved Me,,,,
Rock Me Amadeus,,,,
Grenade,,,,
Good Vibrations,,,,
(The Lights Went Out In) Massachusetts,,,,
That's What Friends Are For,,,,
House of the Rising Sun,,,,
Toxic,,,,
Girls Just Wanna Have Fun,,,,
Get the Party Started,,,,
Sixteen Tons,,,,
Those Were the Days,230.4,56.601,8.9,135.6
I Feel Fine,,,,
You Belong to Me,,,,
Paperback Writer,,,,
I Beg Your Pardon (I Never Promised You a Rose Garden),,,,
What's Love Got to Do With It?,,,,
Do They Know It's Christmas?,,,,
Honky Tonk Woman,,,,
One Sweet Day,,,,
Hot 'n' cold,,,,
Waterfalls,,,,
It Must Have Been Love,,,,
Tragedy,,,,
A Hard Day's Night,,,,
La Bamba,154.1,60.428,10.3,83.8
Mister Sandman,,,,
Maggie May,,,,
A Groovy Kind of Love,,,,
